pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_jas16
2016,07,017260,006,0002,11,02,0,0,16071102,3,1,2, ,1,38,6,5, ,2,2,3,7,2016,9,7,2016,7,12,1977,1, , , , , , , , , , , , , ,782,4520,4,5,1,2,99,99,2011,0,9,9,9,9,9,6,51,1, ,1,1,2,300,42, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,5,4,1,1299,182, , , , ,1481,1481,1,361.49401084048
2016,07,017260,006,0003,11,01,0,0,16071101,1,1,2, ,1,40,6,5, ,1,2,3,7,2016,9,7,2016,26,5,1976,1, , , , , , , , , , , , , ,984,1071,4,5,2, ,99,99,2008,0,8,8,8,8,8,8,48,1, ,2,2,2,300,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1299,0, , , , ,1299,1299,1,361.49401084048
2016,07,017272,006,0186,11,02,0,0,16071102,3,1,2, ,1,23,8,3, ,2,2,10,7,2016,16,7,2016,6,3,1993,1, , , , , , , , , , , , , ,522,5629,3,5,2, ,99,1,2015,10,10,10,8,10,10,10,68,1, ,1,2,4,1200,208, , ,0,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,208, , ,0,0,1408,1408,1,368.591407725778
2016,07,017272,006,0187,11,04,0,0,16071104,3,1,2, ,2,21,8,3, ,4,4,10,7,2016,16,7,2016,8,2,1995,1, , , , , , , , , , , , , ,455,8220,3,4,2, ,99,9,2015,0,8,8,8,8,8,0,40,2,48,1,2,4,1500,0, , , , ,1, , , , , , , , ,4,0,0,0,0,0,0,1,1,4,1,1500,0, , , , ,1500,1500,1,404.626550977279
2016,07,017272,006,0187,11,06,0,0,16071106,6,1,2, ,1,47,5,3, ,6,6,10,7,2016,16,7,2016,16,3,1969,1, , , , , , , , , , , , , ,861,4100,4,5,1,4,15,6,2016,0,8,8,8,8,8,6,46,1, ,2,2,2,500,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,1,1,1,2165,0, , , , ,2165,2165,1,178.721570040169
2016,07,017272,006,0201,11,03,0,0,16071103,3,1,2, ,2,22,6,5, ,3,3,10,7,2016,16,7,2016,4,12,1993,1, , , , , , , , , , , , , ,451,5610,3,5,1,5,1,7,2015,10,10,10,10,10,10,10,70,1, ,1,2,2,215,70, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,1,4,1,931,303, , , , ,1234,1234,1,404.626550977279
2016,07,017289,006,0132,11,01,0,0,16041101,1,1,2, ,1,38,6,5, ,1,1,17,7,2016,23,7,2016,27,3,1978,1, , , , , , , , , , , , , ,876,4210,4,5,2, ,15,1,2015,10,10,10,10,0,0,0,40,2,50,1,2,2,850,196, , , , ,1, , , , , , , , ,3,0,0,0,0,0,0,1,6,4,1,3681,849, , , , ,4530,4530,1,361.49401084048
2016,07,017289,006,0135,11,01,0,0,16041101,1,1,2, ,1,53,6,5, ,1,1,17,7,2016,23,7,2016,5,11,1962,1, , , , , , , , , , , , , ,951,8291,3,5,2, ,15,1,2015,0,8,8,8,8,8,0,40,1, ,1,2,4,1200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,178.721570040169
2016,07,017313,006,0126,11,01,0,0,16071101,1,1,2, ,1,35,6,5, ,1,2,17,7,2016,23,7,2016,5,3,1981,1, , , , , , , , , , , , , ,852,2511,4,5,1,50,6,4,2016,0,8,8,8,8,8,8,48,1, ,1,2,2,400,42, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1732,182, , , , ,1914,1914,1,361.49401084048
2016,07,017313,006,0139,11,02,0,0,16071102,2,1,2, ,2,28,8,3, ,2,2,10,7,2016,16,7,2016,11,5,1988,1, , , , , , , , , , , , , ,351,4772,3,5,2, ,9999,5,2014,8,8,8,8,8,0,8,48,1, ,2,2,4,1050,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,1,1,1,1050,0, , , , ,1050,1050,1,340.764980146425
